accountID,date,transactionType,category,description,Amount,accountBAL
8010-27075685-001,2024-03-04 14:44:30,Credit,Deposit Extra,Mobile Wallet Transfer,78.82,-3081.62
8010-27075685-001,2024-03-05 03:01:45,Debit,Family Allowances,Parent Allowance,-260.56,-3342.18
8010-27075685-001,2024-03-05 08:12:37,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-263.77,-3605.95
8010-27075685-001,2024-03-05 18:40:39,Debit,Loan,Vehicle Loan,-500.33,-4106.28
8010-27075685-001,2024-03-05 21:52:23,Debit,Family Allowances,Children Allowance,-107.07,-4213.35
8010-27075685-001,2024-03-07 00:30:08,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-70.6,-4283.95
8010-27075685-001,2024-03-07 07:18:16,Credit,Deposit,Salary Deposit,5001.0,717.05
8010-27075685-001,2024-03-10 23:58:42,Debit,Maintenance/Service,Auto Repair,-200.75,516.3
8010-27075685-001,2024-03-19 07:56:27,Debit,Maintenance/Service,Auto Repair,-171.84,344.46
8010-27075685-001,2024-03-30 20:50:37,Debit,Maintenance/Service,Auto Repair,-167.4,177.06
8010-27075685-001,2024-04-01 03:03:04,Debit,Loan,Housing Loan,-1000.55,-823.49
8010-27075685-001,2024-04-01 14:32:54,Debit,Facilities (1b),I n s u r a n c e,-243.9,-1067.39
8010-27075685-001,2024-04-01 17:15:39,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-267.04,-1334.43
8010-27075685-001,2024-04-02 11:30:05,Debit,Facilities (2b),G a s   P r o v i d e r,-79.02,-1413.45
8010-27075685-001,2024-04-02 23:06:57,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-96.22,-1509.67
8010-27075685-001,2024-04-02 23:33:34,Debit,Bills (Entertainment),Music Streaming,-121.56,-1631.23
8010-27075685-001,2024-04-04 12:37:07,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-247.61,-1878.84
8010-27075685-001,2024-04-04 21:17:30,Debit,Loan,Vehicle Loan,-500.82,-2379.66
8010-27075685-001,2024-04-04 23:18:59,Debit,Facilities (2a),W a t e r   U t i l i t y,-84.32,-2463.98
8010-27075685-001,2024-04-05 16:17:46,Debit,Loan,Personal Loan,-500.56,-2964.54
8010-27075685-001,2024-04-06 14:30:04,Credit,Deposit Extra,Mobile Wallet Transfer,120.81,-2843.73
8010-27075685-001,2024-04-07 12:51:59,Credit,Deposit,Salary Deposit,5000.81,2157.08
8010-27075685-001,2024-04-07 15:08:00,Debit,Facilities (2d),C l o u d   S e r v i c e,-129.42,2027.66
8010-27075685-001,2024-04-07 19:14:59,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-59.57,1968.09
8010-27075685-001,2024-04-07 19:55:47,Debit,Family Allowances,Spouse Allowance,-254.21,1713.88
8010-27075685-001,2024-04-07 22:51:20,Debit,Maintenance/Service,Plumber Service,-188.95,1524.93
8010-27075685-001,2024-04-07 23:24:35,Debit,Family Allowances,Children Allowance,-116.62,1408.31
8010-27075685-001,2024-04-28 05:49:23,Debit,Maintenance/Service,Electrician Service,-235.09,1173.22
8010-27075685-001,2024-05-01 00:30:34,Debit,Maintenance/Service,Electrician Service,-243.54,929.68
8010-27075685-001,2024-05-01 12:40:29,Debit,Loan,Personal Loan,-500.86,428.82
8010-27075685-001,2024-05-01 22:17:10,Debit,Family Allowances,Children Allowance,-104.38,324.44
8010-27075685-001,2024-05-01 22:27:43,Debit,Facilities (2d),C l o u d   S e r v i c e,-117.46,206.98
8010-27075685-001,2024-05-02 00:43:04,Debit,Maintenance/Service,Auto Repair,-218.3,-11.32
8010-27075685-001,2024-05-03 00:59:18,Debit,Family Allowances,Spouse Allowance,-267.72,-279.04
8010-27075685-001,2024-05-03 08:10:20,Debit,Maintenance/Service,Plumber Service,-156.16,-435.2
8010-27075685-001,2024-05-03 18:04:37,Debit,Loan,Housing Loan,-1000.15,-1435.35
8010-27075685-001,2024-05-03 19:08:43,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-295.08,-1730.43
8010-27075685-001,2024-05-03 22:19:10,Debit,Bills (Entertainment),Music Streaming,-110.16,-1840.59
8010-27075685-001,2024-05-04 08:16:54,Debit,Loan,Vehicle Loan,-500.49,-2341.08
8010-27075685-001,2024-05-04 22:15:00,Debit,Facilities (2a),W a t e r   U t i l i t y,-94.77,-2435.85
8010-27075685-001,2024-05-05 02:46:48,Debit,Facilities (1b),I n s u r a n c e,-203.36,-2639.21
8010-27075685-001,2024-05-05 20:52:24,Credit,Deposit,Salary Deposit,5000.46,2361.25
8010-27075685-001,2024-05-06 05:09:25,Credit,Deposit Extra,Mobile Wallet Transfer,56.35,2417.6
8010-27075685-001,2024-05-06 09:08:43,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-190.13,2227.47
8010-27075685-001,2024-05-06 14:24:19,Debit,Facilities (2b),G a s   P r o v i d e r,-84.8,2142.67
8010-27075685-001,2024-05-07 09:27:34,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-57.51,2085.16
8010-27075685-001,2024-05-07 18:25:26,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-99.29,1985.87
8010-27075685-001,2024-05-11 17:10:32,Debit,Maintenance/Service,Plumber Service,-168.31,1817.56
8010-27075685-001,2024-05-16 15:46:19,Debit,Maintenance/Service,Auto Repair,-170.84,1646.72
8010-27075685-001,2024-05-16 16:01:58,Debit,Maintenance/Service,Electrician Service,-244.4,1402.32
8010-27075685-001,2024-05-16 16:59:35,Debit,Maintenance/Service,Auto Repair,-160.82,1241.5
8010-27075685-001,2024-06-01 07:18:25,Debit,Facilities (2d),C l o u d   S e r v i c e,-125.06,1116.44
8010-27075685-001,2024-06-01 22:22:08,Debit,Loan,Personal Loan,-500.89,615.55
8010-27075685-001,2024-06-01 23:20:03,Debit,Facilities (2a),W a t e r   U t i l i t y,-61.51,554.04
8010-27075685-001,2024-06-01 23:57:09,Debit,Loan,Housing Loan,-1000.41,-446.37
8010-27075685-001,2024-06-02 04:11:44,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-67.65,-514.02
8010-27075685-001,2024-06-03 01:21:39,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-254.5,-768.52
8010-27075685-001,2024-06-03 07:40:56,Debit,Facilities (2b),G a s   P r o v i d e r,-80.63,-849.15
8010-27075685-001,2024-06-03 08:39:21,Credit,Deposit,Salary Deposit,5000.59,4151.44
8010-27075685-001,2024-06-04 11:39:38,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-237.72,3913.72
8010-27075685-001,2024-06-04 13:51:00,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-78.79,3834.93
8010-27075685-001,2024-06-04 23:36:17,Debit,Family Allowances,Children Allowance,-143.07,3691.86
8010-27075685-001,2024-06-05 12:48:21,Debit,Facilities (1b),I n s u r a n c e,-246.1,3445.76
8010-27075685-001,2024-06-05 23:34:53,Debit,Loan,Vehicle Loan,-500.8,2944.96
8010-27075685-001,2024-06-06 13:18:04,Credit,Deposit Extra,Mobile Wallet Transfer,141.89,3086.85
8010-27075685-001,2024-06-06 14:11:05,Debit,Family Allowances,Spouse Allowance,-276.66,2810.19
8010-27075685-001,2024-06-07 05:04:11,Debit,Bills (Entertainment),Cloud Gaming Subscription,-145.61,2664.58
8010-27075685-001,2024-06-16 00:05:07,Debit,Maintenance/Service,Plumber Service,-223.03,2441.55
8010-27075685-001,2024-06-22 09:59:10,Debit,Maintenance/Service,Plumber Service,-199.43,2242.12
8010-27075685-001,2024-06-27 22:19:28,Debit,Maintenance/Service,Electrician Service,-183.81,2058.31
8010-27075685-001,2024-06-28 19:20:37,Debit,Maintenance/Service,Auto Repair,-186.34,1871.97
8010-27075685-001,2024-07-01 07:39:48,Debit,Bills (Entertainment),Cloud Gaming Subscription,-102.33,1769.64
8010-27075685-001,2024-07-01 11:57:16,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-155.14,1614.5
8010-27075685-001,2024-07-01 14:27:05,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-268.47,1346.03
8010-27075685-001,2024-07-02 02:48:33,Debit,Facilities (2b),G a s   P r o v i d e r,-69.85,1276.18
8010-27075685-001,2024-07-02 22:24:57,Debit,Loan,Vehicle Loan,-500.06,776.12
8010-27075685-001,2024-07-03 02:51:18,Debit,Facilities (2d),C l o u d   S e r v i c e,-197.71,578.41
8010-27075685-001,2024-07-03 06:47:47,Debit,Family Allowances,Children Allowance,-111.82,466.59
8010-27075685-001,2024-07-03 23:14:07,Debit,Family Allowances,Spouse Allowance,-270.4,196.19
8010-27075685-001,2024-07-04 12:32:46,Credit,Deposit Extra,Mobile Wallet Transfer,81.81,278.0
8010-27075685-001,2024-07-04 18:01:20,Debit,Loan,Housing Loan,-1000.75,-722.75
8010-27075685-001,2024-07-05 00:56:10,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-64.05,-786.8
8010-27075685-001,2024-07-05 13:44:30,Credit,Deposit,Salary Deposit,5000.38,4213.58
8010-27075685-001,2024-07-05 22:43:08,Debit,Facilities (2a),W a t e r   U t i l i t y,-50.1,4163.48
8010-27075685-001,2024-07-06 06:19:46,Debit,Facilities (1b),I n s u r a n c e,-214.96,3948.52
8010-27075685-001,2024-07-06 07:01:53,Debit,Loan,Personal Loan,-500.87,3447.65
8010-27075685-001,2024-07-06 10:28:35,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-85.81,3361.84
8010-27075685-001,2024-07-11 03:11:58,Debit,Maintenance/Service,Electrician Service,-225.29,3136.55
8010-27075685-001,2024-07-14 09:23:20,Debit,Maintenance/Service,Electrician Service,-203.41,2933.14
8010-27075685-001,2024-07-15 06:28:46,Debit,Maintenance/Service,Auto Repair,-197.74,2735.4
8010-27075685-001,2024-07-27 01:10:57,Debit,Maintenance/Service,Plumber Service,-165.8,2569.6
8010-27075685-001,2024-07-28 15:49:44,Debit,Maintenance/Service,Auto Repair,-166.07,2403.53
8010-27075685-001,2024-08-01 08:36:11,Debit,Facilities (2b),G a s   P r o v i d e r,-87.02,2316.51
8010-27075685-001,2024-08-01 14:18:52,Credit,Deposit Extra,Mobile Wallet Transfer,57.06,2373.57
8010-27075685-001,2024-08-01 21:01:04,Debit,Bills (Entertainment),Cloud Gaming Subscription,-134.11,2239.46
8010-27075685-001,2024-08-02 04:33:04,Debit,Loan,Housing Loan,-1000.14,1239.32
8010-27075685-001,2024-08-02 08:59:42,Debit,Family Allowances,Spouse Allowance,-291.73,947.59
8010-27075685-001,2024-08-02 23:27:57,Debit,Maintenance/Service,Electrician Service,-203.33,744.26
8010-27075685-001,2024-08-03 02:47:06,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-77.16,667.1
8010-27075685-001,2024-08-03 10:20:11,Debit,Family Allowances,Children Allowance,-130.56,536.54
8010-27075685-001,2024-08-03 19:34:17,Debit,Loan,Personal Loan,-500.81,35.73
8010-27075685-001,2024-08-03 22:01:05,Debit,Facilities (2a),W a t e r   U t i l i t y,-75.07,-39.34
8010-27075685-001,2024-08-04 12:54:23,Debit,Loan,Vehicle Loan,-500.74,-540.08
8010-27075685-001,2024-08-04 18:50:50,Debit,Facilities (1b),I n s u r a n c e,-245.57,-785.65
8010-27075685-001,2024-08-05 01:31:37,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-290.36,-1076.01
8010-27075685-001,2024-08-05 04:44:27,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-85.6,-1161.61
8010-27075685-001,2024-08-05 15:59:23,Debit,Facilities (2d),C l o u d   S e r v i c e,-158.85,-1320.46
8010-27075685-001,2024-08-06 02:59:32,Credit,Deposit,Salary Deposit,5000.97,3680.51
8010-27075685-001,2024-08-07 02:55:40,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-161.08,3519.43
8010-27075685-001,2024-08-15 09:23:56,Debit,Maintenance/Service,Electrician Service,-225.77,3293.66
8010-27075685-001,2024-08-16 00:07:15,Debit,Maintenance/Service,Plumber Service,-172.65,3121.01
8010-27075685-001,2024-08-21 20:21:04,Debit,Maintenance/Service,Plumber Service,-155.13,2965.88
8010-27075685-001,2024-08-23 11:32:33,Debit,Maintenance/Service,Auto Repair,-249.19,2716.69
8010-27075685-001,2024-08-26 12:24:51,Debit,Maintenance/Service,Plumber Service,-214.47,2502.22
8010-27075685-001,2024-08-30 09:39:27,Debit,Maintenance/Service,Electrician Service,-227.43,2274.79
8010-27075685-001,2024-09-01 09:43:51,Debit,Facilities (1b),I n s u r a n c e,-210.27,2064.52
8010-27075685-001,2024-09-01 18:37:39,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-86.43,1978.09
8010-27075685-001,2024-09-01 21:04:53,Debit,Family Allowances,Spouse Allowance,-254.69,1723.4
8010-27075685-001,2024-09-01 23:17:01,Debit,Family Allowances,Children Allowance,-120.02,1603.38
8010-27075685-001,2024-09-02 17:31:11,Credit,Deposit,Salary Deposit,5000.86,6604.24
8010-27075685-001,2024-09-02 23:51:09,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-190.64,6413.6
8010-27075685-001,2024-09-03 06:36:27,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-288.59,6125.01
8010-27075685-001,2024-09-03 09:41:18,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-77.8,6047.21
8010-27075685-001,2024-09-03 13:07:48,Debit,Loan,Vehicle Loan,-500.67,5546.54
8010-27075685-001,2024-09-04 13:46:32,Debit,Facilities (2d),C l o u d   S e r v i c e,-158.43,5388.11
8010-27075685-001,2024-09-05 09:48:29,Debit,Loan,Housing Loan,-1000.62,4387.49
8010-27075685-001,2024-09-06 09:34:35,Debit,Loan,Personal Loan,-500.03,3887.46
8010-27075685-001,2024-09-06 15:16:54,Debit,Maintenance/Service,Electrician Service,-215.43,3672.03
8010-27075685-001,2024-09-07 08:37:29,Debit,Facilities (2a),W a t e r   U t i l i t y,-89.22,3582.81
8010-27075685-001,2024-09-07 09:03:06,Credit,Deposit Extra,Mobile Wallet Transfer,133.8,3716.61
8010-27075685-001,2024-09-07 18:59:30,Debit,Facilities (2b),G a s   P r o v i d e r,-71.62,3644.99
8010-27075685-001,2024-09-07 22:49:56,Debit,Bills (Entertainment),Music Streaming,-146.78,3498.21
8010-27075685-001,2024-09-11 10:13:05,Debit,Maintenance/Service,Auto Repair,-153.18,3345.03
8010-27075685-001,2024-09-20 10:32:03,Debit,Maintenance/Service,Plumber Service,-155.83,3189.2
8010-27075685-001,2024-09-27 09:45:50,Debit,Maintenance/Service,Electrician Service,-214.75,2974.45
8010-27075685-001,2024-09-28 10:04:35,Debit,Maintenance/Service,Electrician Service,-233.11,2741.34
8010-27075685-001,2024-10-01 01:19:20,Debit,Facilities (2d),C l o u d   S e r v i c e,-134.73,2606.61
8010-27075685-001,2024-10-01 09:09:35,Credit,Deposit Extra,Mobile Wallet Transfer,106.5,2713.11
8010-27075685-001,2024-10-01 11:40:42,Debit,Maintenance/Service,Plumber Service,-240.85,2472.26
8010-27075685-001,2024-10-01 17:53:49,Debit,Family Allowances,Parent Allowance,-290.24,2182.02
8010-27075685-001,2024-10-02 07:12:46,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-98.33,2083.69
8010-27075685-001,2024-10-02 18:51:13,Debit,Loan,Vehicle Loan,-500.83,1582.86
8010-27075685-001,2024-10-04 18:15:37,Debit,Facilities (2a),W a t e r   U t i l i t y,-61.34,1521.52
8010-27075685-001,2024-10-05 13:05:05,Debit,Facilities (1b),I n s u r a n c e,-222.51,1299.01
8010-27075685-001,2024-10-05 13:32:15,Credit,Deposit,Salary Deposit,5000.16,6299.17
8010-27075685-001,2024-10-05 20:11:44,Debit,Facilities (2b),G a s   P r o v i d e r,-94.62,6204.55
8010-27075685-001,2024-10-05 22:30:35,Debit,Bills (Entertainment),Music Streaming,-142.1,6062.45
8010-27075685-001,2024-10-06 18:58:40,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-212.35,5850.1
8010-27075685-001,2024-10-06 20:20:20,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-299.63,5550.47
8010-27075685-001,2024-10-06 21:52:43,Debit,Loan,Personal Loan,-500.31,5050.16
8010-27075685-001,2024-10-06 22:19:04,Debit,Family Allowances,Children Allowance,-146.3,4903.86
8010-27075685-001,2024-10-07 11:44:22,Debit,Maintenance/Service,Electrician Service,-167.2,4736.66
8010-27075685-001,2024-10-07 20:08:30,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-83.72,4652.94
8010-27075685-001,2024-10-07 20:58:48,Debit,Loan,Housing Loan,-1000.86,3652.08
8010-27075685-001,2024-10-10 07:39:46,Debit,Maintenance/Service,Auto Repair,-176.38,3475.7
8010-27075685-001,2024-10-12 03:34:08,Debit,Maintenance/Service,Electrician Service,-222.19,3253.51
8010-27075685-001,2024-10-15 04:00:29,Debit,Maintenance/Service,Electrician Service,-218.9,3034.61
8010-27075685-001,2024-10-16 05:36:58,Debit,Maintenance/Service,Electrician Service,-222.17,2812.44
8010-27075685-001,2024-10-18 10:26:30,Debit,Maintenance/Service,Auto Repair,-233.96,2578.48
8010-27075685-001,2024-10-20 02:43:02,Debit,Maintenance/Service,Electrician Service,-166.81,2411.67
8010-27075685-001,2024-11-01 07:16:00,Debit,Bills (Entertainment),Cloud Gaming Subscription,-131.63,2280.04
8010-27075685-001,2024-11-01 14:18:53,Debit,Loan,Personal Loan,-500.23,1779.81
8010-27075685-001,2024-11-02 03:58:22,Debit,Facilities (2a),W a t e r   U t i l i t y,-86.64,1693.17
8010-27075685-001,2024-11-02 10:17:55,Debit,Loan,Housing Loan,-1000.69,692.48
8010-27075685-001,2024-11-02 17:37:56,Debit,Facilities (1a),E l e c t r i c   C o m p a n y,-221.63,470.85
8010-27075685-001,2024-11-03 17:24:19,Credit,Deposit,Salary Deposit,5000.72,5471.57
8010-27075685-001,2024-11-03 17:52:30,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-60.81,5410.76
8010-27075685-001,2024-11-03 18:34:18,Debit,Facilities (1c),G y m   S u b s c r i p t i o n,-266.91,5143.85
8010-27075685-001,2024-11-03 20:54:40,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-54.51,5089.34
8010-27075685-001,2024-11-04 06:07:02,Debit,Loan,Vehicle Loan,-500.95,4588.39
8010-27075685-001,2024-11-04 21:47:47,Debit,Maintenance/Service,Plumber Service,-226.68,4361.71
8010-27075685-001,2024-11-05 14:18:38,Debit,Maintenance/Service,Plumber Service,-207.46,4154.25
8010-27075685-001,2024-11-05 22:32:37,Debit,Facilities (2d),C l o u d   S e r v i c e,-116.38,4037.87
8010-27075685-001,2024-11-06 00:29:54,Debit,Family Allowances,Children Allowance,-129.36,3908.51
8010-27075685-001,2024-11-07 01:38:26,Debit,Facilities (2b),G a s   P r o v i d e r,-68.82,3839.69
8010-27075685-001,2024-11-07 04:22:38,Debit,Maintenance/Service,Electrician Service,-236.19,3603.5
8010-27075685-001,2024-11-07 16:21:52,Credit,Deposit Extra,Mobile Wallet Transfer,61.01,3664.51
8010-27075685-001,2024-11-07 17:55:13,Debit,Family Allowances,Parent Allowance,-276.07,3388.44
8010-27075685-001,2024-11-07 23:26:20,Debit,Facilities (1b),I n s u r a n c e,-210.49,3177.95
8010-27075685-001,2024-11-09 08:07:36,Debit,Maintenance/Service,Plumber Service,-209.99,2967.96
8010-27075685-001,2024-11-09 10:45:31,Debit,Maintenance/Service,Plumber Service,-168.59,2799.37
8010-27075685-001,2024-11-10 06:43:33,Debit,Maintenance/Service,Plumber Service,-205.33,2594.04
8010-27075685-001,2024-11-11 18:10:37,Debit,Maintenance/Service,Plumber Service,-224.54,2369.5
8010-27075685-001,2024-11-12 09:56:00,Debit,Maintenance/Service,Auto Repair,-230.35,2139.15
8010-27075685-001,2024-11-21 06:16:20,Debit,Maintenance/Service,Plumber Service,-218.32,1920.83
8010-27075685-001,2024-12-01 07:41:20,Debit,Facilities (2b),G a s   P r o v i d e r,-71.35,1849.48
8010-27075685-001,2024-12-01 09:06:27,Debit,Facilities (2a),W a t e r   U t i l i t y,-84.24,1765.24
8010-27075685-001,2024-12-02 05:16:09,Debit,Loan,Vehicle Loan,-500.66,1264.58
8010-27075685-001,2024-12-03 05:01:03,Debit,Family Allowances,Children Allowance,-145.01,1119.57
8010-27075685-001,2024-12-03 10:03:01,Debit,Loan,Housing Loan,-1000.54,119.03
8010-27075685-001,2024-12-03 10:56:55,Credit,Deposit Extra,Mobile Wallet Transfer,89.67,208.7
8010-27075685-001,2024-12-03 17:04:23,Debit,Facilities (2e),P u b l i c   T r a n s p o r t   P a s s,-94.83,113.87
8010-27075685-001,2024-12-03 19:08:42,Debit,Facilities (2c),T r a s h   C o l l e c t i o n   S e r v i c e,-82.88,30.99
8010-27075685-001,2024-12-03 21:18:19,Debit,Facilities (1b),I n s u r a n c e,-243.83,-212.84
8010-27075685-001,2024-12-05 17:47:30,Debit,Family Allowances,Spouse Allowance,-294.92,-507.76
